Gene.names	RBC	Plasma	Matrisome.1	Matrisome.2	Matrisome.3	Plasma.1	Subcellular.location..CC.
DNAJB9	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum lumen
SCAF8	NA	NA	NA	NA	NA	NA	Nucleus
IL33	NA	NA	NA	NA	NA	NA	Nucleus
TIGAR	NA	NA	NA	NA	NA	NA	Cytoplasm
GNAI1	NA	NA	NA	NA	NA	NA	Nucleus
POLR1C	NA	NA	NA	NA	NA	NA	Nucleus
NFATC3	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus Note=Cytoplasmic for the phosphorylated form and nuclear after activation that is controlled by calcineurin-mediated dephosphorylation Rapid nuclear exit of NFATC is thought to be one mechanism by which cells distinguish between sustained and transient calcium signals The subcellular localization of NFATC plays a key role in the regulation of gene transcription
DNAAF6	NA	NA	NA	NA	NA	NA	Cytoplasm
GLB1	NA	NA	NA	NA	NA	NA	Lysosome
GAL3ST2	NA	NA	NA	NA	NA	NA	Golgi apparatus
SLC12A4	NA	NA	NA	NA	NA	NA	Membrane
UBALD1	NA	NA	NA	NA	NA	NA	NA
BRF2	NA	NA	NA	NA	NA	NA	Nucleus
RAB23	NA	NA	NA	NA	NA	NA	Cell membrane
LUC7L3	NA	NA	NA	NA	NA	NA	Nucleus speckle
REPS1	NA	NA	NA	NA	NA	NA	Membrane
WSCD2	NA	NA	NA	NA	NA	NA	Membrane
STAT6	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus Note=Translocated into the nucleus in response to phosphorylation
VASN	NA	Plasma	NA	NA	NA	NA	Membrane
EPM2AIP1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum
UBE2R2	RBC	NA	NA	NA	NA	NA	NA
EP400	NA	NA	NA	NA	NA	NA	Nucleus
VWA7	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
ELP1	NA	NA	NA	NA	NA	NA	Cytoplasm
KATNBL1	NA	NA	NA	NA	NA	NA	Nucleus
SCP2	NA	NA	NA	NA	NA	NA	Cytoplasm
TFDP1	NA	NA	NA	NA	NA	NA	Nucleus
CALU	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
NAPB	NA	NA	NA	NA	NA	NA	Membrane
FOXL1	NA	NA	NA	NA	NA	NA	Nucleus
CD302	NA	NA	NA	NA	NA	NA	Membrane
RAB11FIP3	NA	NA	NA	NA	NA	NA	Recycling endosome membrane
ACP4	NA	NA	NA	NA	NA	NA	Membrane
KCNV1	NA	NA	NA	NA	NA	NA	Cell membrane
GPRC5B	NA	NA	NA	NA	NA	NA	Cell membrane
OCM2	NA	NA	NA	NA	NA	NA	NA
OCM	NA	NA	NA	NA	NA	NA	NA
PHLDA2	NA	NA	NA	NA	NA	NA	Cytoplasm
PPP4R3A	NA	NA	NA	NA	NA	NA	Cytoplasm
RAP2A	NA	NA	NA	NA	NA	NA	Midbody
HDAC6	NA	NA	NA	NA	NA	NA	Cytoplasm
PLPP3	NA	NA	NA	NA	NA	NA	Cell membrane
ADAM17	NA	NA	Matrisome-associated	ECM Regulators	Protease	Protease	Cell membrane
MON1B	NA	NA	NA	NA	NA	NA	NA
CTNNAL1	NA	NA	NA	NA	NA	NA	Cytoplasm
GLI1	NA	NA	NA	NA	NA	NA	Cytoplasm
PROM2	NA	NA	NA	NA	NA	NA	Apical cell membrane
KIF18A	NA	NA	NA	NA	NA	NA	Cell projection
TGS1	NA	NA	NA	NA	NA	NA	Cytoplasm
NCK1	NA	NA	NA	NA	NA	NA	Cytoplasm
BAG2	RBC	NA	NA	NA	NA	NA	NA
WWC2	NA	NA	NA	NA	NA	NA	NA
ALDH3A1	NA	NA	NA	NA	NA	NA	Cytoplasm
CYB5R3	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
TRAPPC2	NA	NA	NA	NA	NA	NA	Cytoplasm
TRAPPC2B	NA	NA	NA	NA	NA	NA	Cytoplasm
FST	NA	NA	Matrisome-associated	Secreted Factors	NA	NA	Secreted
DLGAP2	NA	NA	NA	NA	NA	NA	Cell membrane
SAT2	NA	NA	NA	NA	NA	NA	Cytoplasm
TMEM201	NA	NA	NA	NA	NA	NA	Nucleus inner membrane
DHDH	NA	NA	NA	NA	NA	NA	NA
TEX13D	NA	NA	NA	NA	NA	NA	NA
GCM2	NA	NA	NA	NA	NA	NA	Nucleus
FBXO32	NA	NA	NA	NA	NA	NA	Cytoplasm
ALKBH2	NA	NA	NA	NA	NA	NA	Nucleus
FANCA	NA	NA	NA	NA	NA	NA	Nucleus
NOC3L	NA	NA	NA	NA	NA	NA	Nucleus
SLX4	NA	NA	NA	NA	NA	NA	Nucleus
SCFD1	RBC	NA	NA	NA	NA	NA	Cytoplasm
PRRC2B	NA	NA	NA	NA	NA	NA	NA
DDX50	NA	NA	NA	NA	NA	NA	Nucleus
STOX1	NA	NA	NA	NA	NA	NA	Nucleus
KAT5	NA	NA	NA	NA	NA	NA	Nucleus
GRIA1	NA	NA	NA	NA	NA	NA	Cell membrane
HSPA2	RBC	NA	NA	NA	NA	NA	Cytoplasm
SLC22A23	NA	NA	NA	NA	NA	NA	Membrane
TNFRSF4	NA	NA	NA	NA	NA	NA	Membrane
UQCRB	NA	NA	NA	NA	NA	mito	Mitochondrion inner membrane
DNLZ	NA	NA	NA	NA	NA	NA	Mitochondrion
ARHGAP26	NA	NA	NA	NA	NA	NA	Cell junction
NAF1	NA	NA	NA	NA	NA	NA	Cytoplasm
MFSD6	NA	NA	NA	NA	NA	NA	Membrane
CNOT11	NA	NA	NA	NA	NA	NA	Cytoplasm
GABBR1	NA	NA	NA	NA	NA	NA	Cell membrane
ARF3	RBC	NA	NA	NA	NA	NA	Golgi apparatus
IL12B	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
NCBP2L	NA	NA	NA	NA	NA	NA	Nucleus
MINAR1	NA	NA	NA	NA	NA	NA	Cell membrane
TTC23	NA	NA	NA	NA	NA	NA	Cell projection
QPRT	NA	NA	NA	NA	NA	NA	NA
GDPD5	NA	NA	NA	NA	NA	NA	Endomembrane system
RDH14	NA	NA	NA	NA	NA	NA	NA
FBP1	NA	NA	NA	NA	NA	NA	NA
PRPF18	NA	NA	NA	NA	NA	NA	Nucleus speckle
PLA2G7	NA	Plasma	NA	NA	NA	NA	Secreted
CENPI	NA	NA	NA	NA	NA	NA	Nucleus
CACHD1	NA	NA	NA	NA	NA	NA	Membrane
IRX6	NA	NA	NA	NA	NA	NA	Nucleus
SYCE3	NA	NA	NA	NA	NA	NA	Nucleus
CZIB	RBC	NA	NA	NA	NA	NA	NA
BRSK1	NA	NA	NA	NA	NA	NA	Cytoplasm
PIP5KL1	NA	NA	NA	NA	NA	NA	Cytoplasm
SLC17A5	NA	NA	NA	NA	NA	NA	Cell membrane
ARPP19	NA	NA	NA	NA	NA	NA	Cytoplasm
MEAK7	NA	NA	NA	NA	NA	NA	Membrane
LY6K	NA	NA	NA	NA	NA	NA	Secreted
DMTF1	NA	NA	NA	NA	NA	NA	Nucleus
NEURL1B	NA	NA	NA	NA	NA	NA	Cytoplasm
FBXW7	NA	NA	NA	NA	NA	NA	Nucleus
CLN5	NA	NA	NA	NA	NA	NA	[Ceroid-lipofuscinosis neuronal protein 5 homolog
CDKL3	NA	NA	NA	NA	NA	NA	Cytoplasm
CCDC148	NA	NA	NA	NA	NA	NA	NA
HNMT	NA	NA	NA	NA	NA	NA	Cytoplasm
GLIS3	NA	NA	NA	NA	NA	NA	Nucleus
XRCC1	NA	NA	NA	NA	NA	NA	Nucleus
TMEM199	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
MTFR1	NA	NA	NA	NA	NA	NA	Mitochondrion
PHF7	NA	NA	NA	NA	NA	NA	Nucleus
VWCE	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
EHBP1	NA	NA	NA	NA	NA	NA	Cytoplasm
ARNTL2	NA	NA	NA	NA	NA	NA	Nucleus
SH3BP5	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle membrane
CROCC2	NA	NA	NA	NA	NA	NA	NA
NEK10	NA	NA	NA	NA	NA	NA	NA
CCDC39	NA	NA	NA	NA	NA	NA	Cytoplasm
KCNAB1	NA	NA	NA	NA	NA	NA	Cytoplasm
UFC1	RBC	NA	NA	NA	NA	NA	NA
NME7	NA	NA	NA	NA	NA	NA	NA
PDIA4	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum lumen
ROPN1B	NA	NA	NA	NA	NA	NA	Cell projection
ROPN1	NA	NA	NA	NA	NA	NA	Cell projection
OR5P2	NA	NA	NA	NA	NA	NA	Cell membrane
ARPC4	RBC	Plasma	NA	NA	NA	cytoskeletal	Cytoplasm
RPL24	NA	NA	NA	NA	NA	NA	Cytoplasm
GNAT2	NA	NA	NA	NA	NA	NA	Cell projection
ACACB	NA	NA	NA	NA	NA	NA	Mitochondrion
LRIF1	NA	NA	NA	NA	NA	NA	Chromosome
ITGA2B	RBC	Plasma	NA	NA	NA	platelet	Membrane
CDC42EP5	NA	NA	NA	NA	NA	NA	Endomembrane system
KNSTRN	NA	NA	NA	NA	NA	NA	Nucleus
DKK4	NA	NA	NA	NA	NA	NA	Secreted
CCL20	NA	NA	Matrisome-associated	Secreted Factors	signalling	signalling	Secreted
KLK4	NA	NA	NA	NA	Protease	NA	Secreted
CACNA1H	NA	NA	NA	NA	NA	NA	Cell membrane
MCOLN1	NA	NA	NA	NA	NA	NA	Late endosome membrane
PARL	NA	NA	NA	NA	Protease	NA	Mitochondrion inner membrane
SEC13	RBC	NA	NA	NA	NA	NA	Cytoplasmic vesicle
PNMA1	NA	NA	NA	NA	NA	NA	Nucleus
ARHGEF28	NA	NA	NA	NA	NA	NA	Cytoplasm Cell membrane Note=Colocalizes with the microtubule radial and cortical systems
SLC4A7	NA	NA	NA	NA	NA	NA	Basolateral cell membrane
NADK2	RBC	NA	NA	NA	NA	NA	Mitochondrion
MTO1	NA	NA	NA	NA	NA	NA	Mitochondrion
FAM171A2	NA	NA	NA	NA	NA	NA	Membrane
HSPB7	NA	NA	NA	NA	NA	NA	Cytoplasm
SPATA1	NA	NA	NA	NA	NA	NA	NA
VPS11	NA	NA	NA	NA	NA	NA	Late endosome membrane
ADH7	NA	NA	NA	NA	NA	NA	Cytoplasm
NARF	NA	NA	NA	NA	NA	NA	Nucleus
STAMBPL1	NA	NA	NA	NA	Protease	NA	NA
NPPC	NA	NA	NA	NA	NA	NA	Secreted
SLC22A5	NA	NA	NA	NA	NA	NA	Peroxisome membrane
MYBPHL	NA	NA	NA	NA	NA	NA	Cytoplasm
SEC22C	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
KBTBD12	NA	NA	NA	NA	NA	NA	NA
FIZ1	NA	NA	NA	NA	NA	NA	Cytoplasm
TUFT1	NA	NA	NA	NA	NA	NA	Secreted
PKP4	NA	NA	NA	NA	NA	NA	Cell junction
CNNM3	NA	NA	NA	NA	NA	NA	Cell membrane
KRTAP2-3	NA	NA	NA	NA	NA	NA	NA
KRTAP2-4	NA	NA	NA	NA	NA	NA	NA
KRTAP4-16	NA	NA	NA	NA	NA	NA	NA
KRTAP4-11	NA	NA	NA	NA	NA	NA	NA
KRTAP4-5	NA	NA	NA	NA	NA	NA	NA
KRTAP4-4	NA	NA	NA	NA	NA	NA	NA
KRTAP2-1	NA	NA	NA	NA	NA	NA	NA
KRTAP2-2	NA	NA	NA	NA	NA	NA	NA
KRTAP4-8	NA	NA	NA	NA	NA	NA	NA
KRTAP4-1	NA	NA	NA	NA	NA	NA	NA
KRTAP4-9	NA	NA	NA	NA	NA	NA	NA
KRTAP9-1	NA	NA	NA	NA	NA	NA	NA
COMMD3-BMI1	NA	NA	NA	NA	NA	NA	Nucleus
BMI1	NA	NA	NA	NA	NA	NA	Nucleus
CD28	NA	NA	NA	NA	NA	NA	Membrane
MAST2	NA	NA	NA	NA	NA	NA	Membrane
CCHCR1	NA	NA	NA	NA	NA	NA	Cytoplasm
SRRM2	NA	NA	NA	NA	NA	NA	Nucleus
FBXO25	NA	NA	NA	NA	NA	NA	Nucleus
DARS2	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
TPRKB	NA	NA	NA	NA	NA	NA	Cytoplasm
IQGAP1	RBC	NA	NA	NA	NA	NA	Cell membrane
AOX1	NA	NA	NA	NA	NA	NA	Cytoplasm
FADD	NA	NA	NA	NA	NA	NA	NA
HOXD9	NA	NA	NA	NA	NA	NA	Nucleus
DIPK1A	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
LRPPRC	NA	NA	NA	NA	NA	NA	Mitochondrion
MAMSTR	NA	NA	NA	NA	NA	NA	Nucleus
FYB2	NA	NA	NA	NA	NA	NA	Membrane raft
MDH1	RBC	Plasma	NA	NA	NA	NA	Cytoplasm
GPBAR1	NA	NA	NA	NA	NA	NA	Cell membrane
GSTM1	NA	NA	NA	NA	NA	NA	Cytoplasm
ACOT7	NA	NA	NA	NA	NA	NA	Cytoplasm
NOP58	NA	NA	NA	NA	NA	NA	Nucleus
BEND6	NA	NA	NA	NA	NA	NA	Nucleus
CNNM4	NA	NA	NA	NA	NA	NA	Cell membrane
RHBDD1	NA	NA	NA	NA	Protease	NA	Endoplasmic reticulum membrane
RSC1A1	NA	NA	NA	NA	NA	NA	Cell membrane
AGBL4	NA	NA	NA	NA	Protease	NA	Cytoplasm
SAMD12	NA	NA	NA	NA	NA	NA	NA
ORC2	NA	NA	NA	NA	NA	NA	Nucleus
DEGS1	NA	NA	NA	NA	NA	NA	Mitochondrion membrane
SEC61A1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
SAMD13	NA	NA	NA	NA	NA	NA	NA
KLK3	NA	NA	NA	NA	Protease	NA	NA
OMP	NA	NA	NA	NA	NA	NA	Cytoplasm
ARHGAP33	NA	NA	NA	NA	NA	NA	Cell membrane
FABP4	NA	Plasma	NA	NA	NA	NA	Cytoplasm
CDH5	NA	Plasma	NA	NA	NA	NA	Cell junction
CAPN9	NA	NA	NA	NA	Protease	NA	Cytoplasm
ZIC4	NA	NA	NA	NA	NA	NA	Nucleus
CYP4B1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
SPC25	NA	NA	NA	NA	NA	NA	Nucleus
ITGB5	NA	NA	NA	NA	NA	NA	Membrane
MCCC2	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
CSNK1D	NA	NA	NA	NA	NA	NA	Cytoplasm
CX3CR1	NA	NA	NA	NA	NA	NA	Cell membrane
CGGBP1	NA	NA	NA	NA	NA	NA	Nucleus
CTDNEP1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
TRABD2B	NA	NA	NA	NA	Protease	NA	Cell membrane
TTYH1	NA	NA	NA	NA	NA	NA	Cell membrane
SETD1B	NA	NA	NA	NA	NA	NA	Nucleus speckle
CXCL13	NA	NA	Matrisome-associated	Secreted Factors	Signalling	Signalling	Secreted
LIN52	NA	NA	NA	NA	NA	NA	NA
TOP2B	NA	NA	NA	NA	NA	NA	Nucleus
KCNE4	NA	NA	NA	NA	NA	NA	Membrane
LMLN	NA	NA	NA	NA	Protease	NA	Cytoplasm Lipid droplet
SLC16A11	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
CGREF1	NA	NA	NA	NA	NA	NA	Secreted
MYH1	NA	NA	NA	NA	NA	NA	Cytoplasm
ARL14EPL	NA	NA	NA	NA	NA	NA	NA
PTPRJ	NA	NA	NA	NA	NA	NA	Cell membrane
PXDN	NA	NA	Core matrisome	ECM Glycoproteins	Crosslinking Enzyme	NA	Secreted
PARP9	NA	NA	NA	NA	NA	NA	Cytoplasm
CTTNBP2	NA	NA	NA	NA	NA	NA	Cytoplasm
ME3	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
RHOF	NA	NA	NA	NA	NA	NA	Cell membrane
MXD3	NA	NA	NA	NA	NA	NA	Nucleus
ZMAT2	NA	NA	NA	NA	NA	NA	Nucleus
HNF1A	NA	NA	NA	NA	NA	NA	Nucleus
BLZF1	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
HMGCR	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
AFF1	NA	NA	NA	NA	NA	NA	Nucleus
AS3MT	NA	NA	NA	NA	NA	NA	Cytoplasm
MPHOSPH9	NA	NA	NA	NA	NA	NA	Cytoplasm
SPG11	NA	NA	NA	NA	NA	NA	Cytoplasm
KCNAB3	NA	NA	NA	NA	NA	NA	Cytoplasm
NEUROD1	NA	NA	NA	NA	NA	NA	Cytoplasm
APOD	NA	Plasma	NA	NA	NA	lipoprotein	Secreted
SYT2	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
KLK3	NA	Plasma	NA	NA	Protease	coag	secreted
SENP8	NA	NA	NA	NA	Protease	NA	NA
HPCAL4	NA	NA	NA	NA	NA	NA	NA
FOXP2	NA	NA	NA	NA	NA	NA	Nucleus
EIF4E2	NA	NA	NA	NA	NA	NA	Cytoplasm
ALX3	NA	NA	NA	NA	NA	NA	Nucleus
PRL	NA	NA	Matrisome-associated	Secreted Factors	NA	NA	Secreted
ACTA2	NA	NA	NA	NA	NA	cytoskeletal	Cytoplasm
PDIA6	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum lumen
IKBKB	NA	NA	NA	NA	NA	NA	Cytoplasm
MPL	NA	NA	NA	NA	NA	NA	Cell membrane
CCND1	NA	NA	NA	NA	NA	NA	Nucleus
PNPLA6	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
USP13	NA	NA	NA	NA	Protease	NA	NA
FCER1G	NA	NA	NA	NA	NA	NA	Cell membrane
YTHDF2	NA	NA	NA	NA	NA	NA	Cytoplasm
METTL16	NA	NA	NA	NA	NA	NA	Nucleus
NME1	RBC	Plasma	NA	NA	NA	NA	Cytoplasm Nucleus
PACRG	NA	NA	NA	NA	NA	NA	NA
ARHGAP17	NA	NA	NA	NA	NA	NA	Membrane
KCNJ11	NA	NA	NA	NA	NA	NA	Membrane
FOXL2	NA	NA	NA	NA	NA	NA	Nucleus
GCDH	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
KPNA6	RBC	NA	NA	NA	NA	NA	Cytoplasm
USF1	NA	NA	NA	NA	NA	NA	Nucleus
KCP	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
DOCK10	NA	NA	NA	NA	NA	NA	Nucleus
PLEKHA1	NA	NA	NA	NA	NA	NA	Cytoplasm
LIN9	NA	NA	NA	NA	NA	NA	Nucleus
HOXA13	NA	NA	NA	NA	NA	NA	Nucleus
DUSP23	NA	NA	NA	NA	NA	NA	Cytoplasm
UROD	RBC	NA	NA	NA	NA	NA	Cytoplasm
SORT1	NA	NA	NA	NA	NA	NA	Golgi apparatus
LY9	NA	NA	NA	NA	NA	NA	Membrane
FAM170A	NA	NA	NA	NA	NA	NA	Nucleus
HINFP	NA	NA	NA	NA	NA	NA	Nucleus
ACAA1	NA	NA	NA	NA	NA	NA	Peroxisome
ANAPC13	NA	NA	NA	NA	NA	NA	Nucleus
ATXN7	NA	NA	NA	NA	NA	NA	Nucleus
NCOA1	NA	NA	NA	NA	NA	NA	Nucleus
DLEC1	NA	NA	NA	NA	NA	NA	Cytoplasm
RORC	NA	NA	NA	NA	NA	NA	Nucleus
NEU2	NA	NA	NA	NA	NA	NA	Cytoplasm
GASK1A	NA	NA	NA	NA	NA	NA	Secreted
KRT36	NA	NA	NA	NA	NA	NA	NA
RYR1	NA	NA	NA	NA	NA	NA	Sarcoplasmic reticulum membrane
HDAC7	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Note=In the nucleus
IQCF1	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
NANOS3	NA	NA	NA	NA	NA	NA	Nucleus
CLCA2	NA	NA	NA	NA	Protease	NA	Cell membrane
HSD17B1	NA	NA	NA	NA	NA	NA	Cytoplasm
ACAD11	NA	NA	NA	NA	NA	NA	Peroxisome
PDXDC1	NA	NA	NA	NA	NA	NA	NA
ANO1	NA	NA	NA	NA	NA	NA	Cell membrane
PTOV1	NA	NA	NA	NA	NA	NA	Cell membrane
RYR2	NA	NA	NA	NA	NA	NA	Sarcoplasmic reticulum membrane
DDB1	RBC	NA	NA	NA	NA	NA	Cytoplasm
SMG5	NA	NA	NA	NA	NA	NA	Cytoplasm
TCEA3	NA	NA	NA	NA	NA	NA	Nucleus
IL17RD	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
KANSL3	NA	NA	NA	NA	NA	NA	Nucleus
SEBOX	NA	NA	NA	NA	NA	NA	Nucleus
TWF1	RBC	NA	NA	NA	NA	NA	Cytoplasm
PPIL3	NA	NA	NA	NA	NA	NA	NA
RAB40B	NA	NA	NA	NA	NA	NA	Cell membrane
KRIT1	NA	NA	NA	NA	NA	NA	Cytoplasm
TBKBP1	NA	NA	NA	NA	NA	NA	NA
LAT	NA	NA	NA	NA	NA	NA	Cell membrane
DPM3	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
CCDC78	NA	NA	NA	NA	NA	NA	Cytoplasm
CENPE	NA	NA	NA	NA	NA	NA	Cytoplasm
CCAR2	NA	NA	NA	NA	NA	NA	Nucleus
ABCA9	NA	NA	NA	NA	NA	NA	Membrane
GPN3	NA	NA	NA	NA	NA	NA	NA
PYROXD1	NA	NA	NA	NA	NA	NA	Nucleus
ERFE	NA	NA	NA	NA	NA	NA	Secreted
SLC39A9	NA	NA	NA	NA	NA	NA	Membrane
RPL23A	RBC	NA	NA	NA	NA	NA	Cytoplasm
CFAP74	NA	NA	NA	NA	NA	NA	Cytoplasm
DYRK4	NA	NA	NA	NA	NA	NA	Cytoplasm
LRRC24	NA	NA	NA	NA	NA	NA	Membrane
STIL	NA	NA	NA	NA	NA	NA	Cytoplasm
RUNDC3B	NA	NA	NA	NA	NA	NA	NA
SLC25A44	NA	NA	NA	NA	NA	NA	Mitochondrion membrane
STXBP5L	NA	NA	NA	NA	NA	NA	Cytoplasm
SLC6A12	NA	NA	NA	NA	NA	NA	Membrane
MT1G	NA	NA	NA	NA	NA	NA	NA
PLA2G2A	NA	NA	NA	NA	NA	NA	Secreted
ACOT4	NA	NA	NA	NA	NA	NA	Peroxisome
CDH1	NA	Plasma	NA	NA	NA	NA	Cell junction
FABP6	NA	NA	NA	NA	NA	NA	Cytoplasm
SMG7	NA	NA	NA	NA	NA	NA	Cytoplasm
FAM20A	NA	NA	Matrisome-associated	ECM Regulators	ECM PTM Modifier	NA	Secreted
NABP2	NA	NA	NA	NA	NA	NA	Nucleus
C8A	RBC	Plasma	NA	NA	NA	comp	Secreted
NUCB2	NA	NA	NA	NA	NA	NA	Cytoplasm
OAS1	NA	NA	NA	NA	NA	NA	Cytoplasm
HSPA4	RBC	NA	NA	NA	NA	NA	Cytoplasm
RPS6	NA	NA	NA	NA	NA	NA	Cytoplasm
VSX2	NA	NA	NA	NA	NA	NA	Nucleus
RAD9B	NA	NA	NA	NA	NA	NA	NA
MFAP2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
PITPNM2	NA	NA	NA	NA	NA	NA	Endomembrane system
CARHSP1	RBC	NA	NA	NA	NA	NA	Cytoplasm
VWA2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
VWA1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
SPINK8	NA	NA	NA	NA	NA	NA	Secreted
INTS9	NA	NA	NA	NA	NA	NA	Nucleus
IRF6	NA	NA	NA	NA	NA	NA	Nucleus
SH2D4B	NA	NA	NA	NA	NA	NA	NA
LIPE	NA	NA	NA	NA	NA	NA	Cell membrane
SEC22B	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
FMN2	NA	NA	NA	NA	NA	NA	Cytoplasm
UGT3A2	NA	NA	NA	NA	NA	NA	Membrane
DESI2	NA	NA	NA	NA	Protease	NA	Cytoplasm
KCNH2	NA	NA	NA	NA	NA	NA	Cell membrane
ATOH7	NA	NA	NA	NA	NA	NA	Nucleus
QRICH2	NA	NA	NA	NA	NA	NA	Nucleus membrane
OR1M1	NA	NA	NA	NA	NA	NA	Cell membrane
UNC13D	RBC	NA	NA	NA	NA	NA	Cytoplasm
ADAMTSL4	NA	NA	Matrisome-associated	ECM Regulators	Protease	NA	Secreted
ANKZF1	NA	NA	NA	NA	NA	NA	Cytoplasm
LCLAT1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
SARM1	NA	NA	NA	NA	NA	NA	Cytoplasm
RCOR3	NA	NA	NA	NA	NA	NA	Nucleus
HOXD3	NA	NA	NA	NA	NA	NA	Nucleus
CMTM2	NA	NA	NA	NA	NA	NA	Membrane
EBI3	NA	NA	Matrisome-associated	Secreted Factors	NA	NA	Secreted
AFDN	NA	NA	NA	NA	NA	NA	Cell junction
PLEKHM3	NA	NA	NA	NA	NA	NA	Cytoplasm
EFCAB3	NA	NA	NA	NA	NA	NA	NA
PIGX	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
DHODH	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
YAF2	NA	NA	NA	NA	NA	NA	Nucleus
OTOP2	NA	NA	NA	NA	NA	NA	Cell membrane
NIT1	RBC	NA	NA	NA	NA	NA	Mitochondrion
F2R	NA	NA	NA	NA	NA	NA	Cell membrane
IRGM	RBC	NA	NA	NA	NA	NA	Golgi apparatus membrane Cell membrane Cytoplasmic vesicle
D2HGDH	NA	NA	NA	NA	NA	NA	Mitochondrion
PPL	NA	NA	NA	NA	NA	NA	Cell junction
METTL7B	NA	NA	NA	NA	NA	NA	NA
PRKN	NA	NA	NA	NA	NA	NA	Cytoplasm
SCN9A	NA	NA	NA	NA	NA	NA	Cell membrane
IER2	NA	NA	NA	NA	NA	NA	Cytoplasm
ERCC8	NA	NA	NA	NA	NA	NA	Nucleus
ENPP7	NA	NA	NA	NA	NA	NA	Cell membrane
TBCB	NA	NA	NA	NA	NA	NA	Cytoplasm
PXN	NA	NA	NA	NA	NA	NA	Cytoplasm
RPL18	RBC	NA	NA	NA	NA	NA	Cytoplasm
LAD1	NA	NA	NA	NA	NA	NA	Secreted
CEP97	NA	NA	NA	NA	NA	NA	Cytoplasm
ZDHHC18	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
KRT17	RBC	NA	NA	NA	NA	cytoskeletal	Cytoplasm
VN1R5	NA	NA	NA	NA	NA	NA	Cell membrane
C1D	NA	NA	NA	NA	NA	NA	Nucleus
SPAG17	NA	NA	NA	NA	NA	NA	Cytoplasm
PDGFA	NA	NA	Matrisome-associated	Secreted Factors	NA	NA	Secreted Note=Released by platelets upon wounding
CAP2	NA	NA	NA	NA	NA	NA	Cell membrane
RPL4	RBC	NA	NA	NA	NA	NA	Cytoplasm
FGF6	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
SPARC	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
DIPK2A	NA	NA	NA	NA	NA	NA	Golgi apparatus Cytoplasmic vesicle
SIRT6	NA	NA	NA	NA	NA	NA	Nucleus
LRRC20	NA	NA	NA	NA	NA	NA	NA
ATCAY	NA	NA	NA	NA	NA	NA	Cell projection
RNF223	NA	NA	NA	NA	NA	NA	Membrane
PLA2G4A	NA	NA	NA	NA	NA	NA	Cytoplasm
RNF10	NA	NA	NA	NA	NA	NA	Cytoplasm
DCUN1D3	NA	NA	NA	NA	NA	NA	Cell membrane
KCTD3	NA	NA	NA	NA	NA	NA	Cell membrane
AQP2	NA	NA	NA	NA	NA	NA	Apical cell membrane
POLQ	NA	NA	NA	NA	NA	NA	Nucleus
DNAJB2	NA	NA	NA	NA	NA	NA	Cytoplasm
