Gene_Symbol	Protein_length	Division	Category	Secretome
AAT1	0	Mitochondria	Mitochondria	Non-secretome
ABF2	0	Mitochondria	Mitochondria	Non-secretome
ACH1	0	Mitochondria	Mitochondria	Non-secretome
ACO1	889	Cytoplasm	Mitochondria	Non-secretome
ACO2	780	Mitochondrion	Mitochondria	Non-secretome
ACP1	158	Cytoplasm	Mitochondria	Non-secretome
ADH3	0	Mitochondria	Mitochondria	Non-secretome
ADH4	380	Cytoplasm	Mitochondria	Non-secretome
ADK1	0	Mitochondria	Mitochondria	Non-secretome
ADK2	0	Mitochondria	Mitochondria	Non-secretome
AEP1	0	Mitochondria	Mitochondria	Non-secretome
AEP2	0	Mitochondria	Mitochondria	Non-secretome
AEP3	0	Mitochondria	Mitochondria	Non-secretome
AFG1	0	Mitochondria	Mitochondria	Non-secretome
AFG3	0	Mitochondria	Mitochondria	Non-secretome
AGC1	0	Mitochondria	Mitochondria	Non-secretome
AI1	0	Mitochondria	Mitochondria	Non-secretome
AI2	0	Mitochondria	Mitochondria	Non-secretome
AI3	0	Mitochondria	Mitochondria	Non-secretome
AI4	0	Mitochondria	Mitochondria	Non-secretome
AI5_ALPHA	0	Mitochondria	Mitochondria	Non-secretome
AI5_BETA	0	Mitochondria	Mitochondria	Non-secretome
AIF1	147	Cytoplasm	Mitochondria	Non-secretome
AIM10	0	Mitochondria	Mitochondria	Non-secretome
AIM11	0	Mitochondria	Mitochondria	Non-secretome
AIM17	0	Mitochondria	Mitochondria	Non-secretome
AIM18	0	Mitochondria	Mitochondria	Non-secretome
AIM19	0	Mitochondria	Mitochondria	Non-secretome
AIM22	0	Mitochondria	Mitochondria	Non-secretome
AIM23	0	Mitochondria	Mitochondria	Non-secretome
AIM24	0	Mitochondria	Mitochondria	Non-secretome
AIM25	0	Mitochondria	Mitochondria	Non-secretome
AIM26	0	Mitochondria	Mitochondria	Non-secretome
AIM32	0	Mitochondria	Mitochondria	Non-secretome
AIM34	0	Mitochondria	Mitochondria	Non-secretome
AIM36	0	Mitochondria	Mitochondria	Non-secretome
AIM39	0	Mitochondria	Mitochondria	Non-secretome
AIM41	0	Mitochondria	Mitochondria	Non-secretome
AIM45	0	Mitochondria	Mitochondria	Non-secretome
AIM46	0	Mitochondria	Mitochondria	Non-secretome
AIM9	0	Mitochondria	Mitochondria	Non-secretome
ALA1	0	Mitochondria	Mitochondria	Non-secretome
ALD4	0	Mitochondria	Mitochondria	Non-secretome
ALD5	0	Mitochondria	Mitochondria	Non-secretome
ALD6	0	Mitochondria	Mitochondria	Non-secretome
ALO1	0	Mitochondria	Mitochondria	Non-secretome
ALT1	0	Mitochondria	Mitochondria	Non-secretome
APE2	0	Mitochondria	Mitochondria	Non-secretome
APN1	0	Mitochondria	Mitochondria	Non-secretome
APP1	0	Mitochondria	Mitochondria	Non-secretome
ARC15	0	Mitochondria	Mitochondria	Non-secretome
ARC18	0	Mitochondria	Mitochondria	Non-secretome
ARG2	354	Mitochondrion	Mitochondria	Non-secretome
ARG5,6	0	Mitochondria	Mitochondria	Non-secretome
ARG7	0	Mitochondria	Mitochondria	Non-secretome
ARG8	0	Mitochondria	Mitochondria	Non-secretome
ARH1	0	Mitochondria	Mitochondria	Non-secretome
ARP2	0	Mitochondria	Mitochondria	Non-secretome
ATG27	0	Mitochondria	Mitochondria	Non-secretome
ATG32	0	Mitochondria	Mitochondria	Non-secretome
ATG33	0	Mitochondria	Mitochondria	Non-secretome
ATG9	0	Mitochondria	Mitochondria	Non-secretome
ATM1	0	Mitochondria	Mitochondria	Non-secretome
ATP1	0	Mitochondria	Mitochondria	Non-secretome
ATP10	0	Mitochondria	Mitochondria	Non-secretome
ATP11	0	Mitochondria	Mitochondria	Non-secretome
ATP12	0	Mitochondria	Mitochondria	Non-secretome
ATP14	0	Mitochondria	Mitochondria	Non-secretome
ATP15	0	Mitochondria	Mitochondria	Non-secretome
ATP16	0	Mitochondria	Mitochondria	Non-secretome
ATP17	0	Mitochondria	Mitochondria	Non-secretome
ATP18	0	Mitochondria	Mitochondria	Non-secretome
ATP19	0	Mitochondria	Mitochondria	Non-secretome
ATP2	0	Mitochondria	Mitochondria	Non-secretome
ATP20	0	Mitochondria	Mitochondria	Non-secretome
ATP22	0	Mitochondria	Mitochondria	Non-secretome
ATP23	246	Other	Mitochondria	Non-secretome
ATP25	0	Mitochondria	Mitochondria	Non-secretome
ATP3	0	Mitochondria	Mitochondria	Non-secretome
ATP4	0	Mitochondria	Mitochondria	Non-secretome
ATP5	0	Mitochondria	Mitochondria	Non-secretome
ATP6	0	Mitochondria	Mitochondria	Non-secretome
ATP7	0	Mitochondria	Mitochondria	Non-secretome
ATP8	0	Mitochondria	Mitochondria	Non-secretome
AYR1	0	Mitochondria	Mitochondria	Non-secretome
BAT1	0	Mitochondria	Mitochondria	Non-secretome
BCS1	0	Mitochondria	Mitochondria	Non-secretome
BI2	0	Mitochondria	Mitochondria	Non-secretome
BI3	0	Mitochondria	Mitochondria	Non-secretome
BI4	0	Mitochondria	Mitochondria	Non-secretome
BIO2	0	Mitochondria	Mitochondria	Non-secretome
BNA3	0	Mitochondria	Mitochondria	Non-secretome
BNA4	0	Mitochondria	Mitochondria	Non-secretome
BNS1	0	Mitochondria	Mitochondria	Non-secretome
BOL1	0	Mitochondria	Mitochondria	Non-secretome
BOL3	0	Mitochondria	Mitochondria	Non-secretome
BTS1	0	Mitochondria	Mitochondria	Non-secretome
BXI1	0	Mitochondria	Mitochondria	Non-secretome
CAF4	0	Mitochondria	Mitochondria	Non-secretome
CAT2	0	Mitochondria	Mitochondria	Non-secretome
CAT5	0	Mitochondria	Mitochondria	Non-secretome
CBP1	0	Mitochondria	Mitochondria	Non-secretome
CBP2	0	Mitochondria	Mitochondria	Non-secretome
CBP3	0	Mitochondria	Mitochondria	Non-secretome
CBP4	0	Mitochondria	Mitochondria	Non-secretome
CBP6	0	Mitochondria	Mitochondria	Non-secretome
CBS1	0	Mitochondria	Mitochondria	Non-secretome
CBS2	0	Mitochondria	Mitochondria	Non-secretome
CBT1	0	Mitochondria	Mitochondria	Non-secretome
CCA1	0	Mitochondria	Mitochondria	Non-secretome
CCE1	0	Mitochondria	Mitochondria	Non-secretome
CCM1	0	Mitochondria	Mitochondria	Non-secretome
CCP1	0	Mitochondria	Mitochondria	Non-secretome
CCS1	0	Mitochondria	Mitochondria	Non-secretome
CDC48	0	Mitochondria	Mitochondria	Non-secretome
CDC9	0	Mitochondria	Mitochondria	Non-secretome
CEM1	0	Mitochondria	Mitochondria	Non-secretome
CHA1	0	Mitochondria	Mitochondria	Non-secretome
CHO1	0	Mitochondria	Mitochondria	Non-secretome
CIR1	450	Nucleus	Mitochondria	Non-secretome
CIR2	0	Mitochondria	Mitochondria	Non-secretome
CIS1	0	Mitochondria	Mitochondria	Non-secretome
CIS3	0	Mitochondria	Mitochondria	Non-secretome
CIT1	0	Mitochondria	Mitochondria	Non-secretome
CIT2	0	Mitochondria	Mitochondria	Non-secretome
CIT3	0	Mitochondria	Mitochondria	Non-secretome
CLD1	0	Mitochondria	Mitochondria	Non-secretome
CMC1	106	Mitochondrion	Mitochondria	Non-secretome
CMC2	79	Mitochondria	Mitochondria	Non-secretome
CMC4	68	Mitochondrion	Mitochondria	Non-secretome
CMR2	0	Mitochondria	Mitochondria	Non-secretome
COA1	146	Mitochondria	Mitochondria	Non-secretome
COA2	0	Mitochondria	Mitochondria	Non-secretome
COA3	106	Mitochondrion	Mitochondria	Non-secretome
COA4	87	Mitochondria	Mitochondria	Non-secretome
COA6	125	Mitochondrion	Mitochondria	Non-secretome
COB	0	Mitochondria	Mitochondria	Non-secretome
COQ1	0	Mitochondria	Mitochondria	Non-secretome
COQ10	0	Mitochondria	Mitochondria	Non-secretome
COQ11	0	Mitochondria	Mitochondria	Non-secretome
COQ2	371	Mitochondrion	Mitochondria	Non-secretome
COQ21	0	Mitochondria	Mitochondria	Non-secretome
COQ3	369	Mitochondrion	Mitochondria	Non-secretome
COQ4	265	Mitochondrion	Mitochondria	Non-secretome
COQ5	327	Mitochondrion	Mitochondria	Non-secretome
COQ6	468	Mitochondrion	Mitochondria	Non-secretome
COQ8	0	Mitochondria	Mitochondria	Non-secretome
COQ9	318	Mitochondrion	Mitochondria	Non-secretome
COR1	0	Mitochondria	Mitochondria	Non-secretome
COX1	0	Mitochondria	Mitochondria	Non-secretome
COX10	443	Mitochondrion	Mitochondria	Non-secretome
COX11	276	Mitochondrion	Mitochondria	Non-secretome
COX12	0	Mitochondria	Mitochondria	Non-secretome
COX13	0	Mitochondria	Mitochondria	Non-secretome
COX14	57	Mitochondrion	Mitochondria	Non-secretome
COX15	410	Mitochondrion	Mitochondria	Non-secretome
COX16	106	Mitochondrion	Mitochondria	Non-secretome
COX17	63	Mitochondrion	Mitochondria	Non-secretome
COX18	333	Mitochondrion	Mitochondria	Non-secretome
COX19	90	Cytoplasm	Mitochondria	Non-secretome
COX2	0	Mitochondria	Mitochondria	Non-secretome
COX20	118	Mitochondrion	Mitochondria	Non-secretome
COX23	0	Mitochondria	Mitochondria	Non-secretome
COX26	0	Mitochondria	Mitochondria	Non-secretome
COX3	0	Mitochondria	Mitochondria	Non-secretome
COX4	0	Mitochondria	Mitochondria	Non-secretome
COX5A	150	Mitochondrion	Mitochondria	Non-secretome
COX5B	129	Mitochondrion	Mitochondria	Non-secretome
COX6	0	Mitochondria	Mitochondria	Non-secretome
COX7	0	Mitochondria	Mitochondria	Non-secretome
COX8	0	Mitochondria	Mitochondria	Non-secretome
COX9	0	Mitochondria	Mitochondria	Non-secretome
CPR1	0	Mitochondria	Mitochondria	Non-secretome
CPR3	0	Mitochondria	Mitochondria	Non-secretome
CPT1	0	Mitochondria	Mitochondria	Non-secretome
CRC1	0	Mitochondria	Mitochondria	Non-secretome
CRD1	0	Mitochondria	Mitochondria	Non-secretome
CTA1	0	Mitochondria	Mitochondria	Non-secretome
CTP1	0	Mitochondria	Mitochondria	Non-secretome
CYB2	0	Mitochondria	Mitochondria	Non-secretome
CYC1	325	Mitochondrion	Mitochondria	Non-secretome
CYC2	0	Mitochondria	Mitochondria	Non-secretome
CYC3	0	Mitochondria	Mitochondria	Non-secretome
CYC7	0	Mitochondria	Mitochondria	Non-secretome
CYM1	0	Mitochondria	Mitochondria	Non-secretome
CYR1	0	Mitochondria	Mitochondria	Non-secretome
CYT1	0	Mitochondria	Mitochondria	Non-secretome
CYT2	0	Mitochondria	Mitochondria	Non-secretome
DCK1	0	Mitochondria	Mitochondria	Non-secretome
DDL1	0	Mitochondria	Mitochondria	Non-secretome
DEG1	0	Mitochondria	Mitochondria	Non-secretome
DFR1	0	Mitochondria	Mitochondria	Non-secretome
DIA4	0	Mitochondria	Mitochondria	Non-secretome
DIC1	0	Mitochondria	Mitochondria	Non-secretome
DIN7	0	Mitochondria	Mitochondria	Non-secretome
DLD1	0	Mitochondria	Mitochondria	Non-secretome
DLD2	0	Mitochondria	Mitochondria	Non-secretome
DNM1	864	Cytoplasm	Mitochondria	Non-secretome
DPA10	0	Mitochondria	Mitochondria	Non-secretome
DPC13	0	Mitochondria	Mitochondria	Non-secretome
DPC25	0	Mitochondria	Mitochondria	Non-secretome
DPC29	0	Mitochondria	Mitochondria	Non-secretome
DPC7	0	Mitochondria	Mitochondria	Non-secretome
DPI29	0	Mitochondria	Mitochondria	Non-secretome
DPI34	0	Mitochondria	Mitochondria	Non-secretome
DPI35	0	Mitochondria	Mitochondria	Non-secretome
DPI8	0	Mitochondria	Mitochondria	Non-secretome
DRE2	0	Mitochondria	Mitochondria	Non-secretome
DSS1	0	Mitochondria	Mitochondria	Non-secretome
DTD1	209	Nucleus	Mitochondria	Non-secretome
DUG1	0	Mitochondria	Mitochondria	Non-secretome
DUS1	0	Mitochondria	Mitochondria	Non-secretome
EAP1	0	Mitochondria	Mitochondria	Non-secretome
ECM10	0	Mitochondria	Mitochondria	Non-secretome
ECM18	0	Mitochondria	Mitochondria	Non-secretome
ECM19	0	Mitochondria	Mitochondria	Non-secretome
ECM31	0	Mitochondria	Mitochondria	Non-secretome
ECM4	0	Mitochondria	Mitochondria	Non-secretome
EHD3	535	Endosome	Mitochondria	Non-secretome
ELP2	826	Cytoplasm	Mitochondria	Non-secretome
EMI1	0	Mitochondria	Mitochondria	Non-secretome
ENO1	434	Cytoplasm	Mitochondria	Non-secretome
ENO2	434	Cytoplasm	Mitochondria	Non-secretome
ENV9	0	Mitochondria	Mitochondria	Non-secretome
ERV1	0	Mitochondria	Mitochondria	Non-secretome
ESBP6	0	Mitochondria	Mitochondria	Non-secretome
ETR1	0	Mitochondria	Mitochondria	Non-secretome
EXG2	0	Mitochondria	Mitochondria	Non-secretome
EXO5	373	Nucleus	Mitochondria	Non-secretome
FAB1	0	Mitochondria	Mitochondria	Non-secretome
FAU1	0	Mitochondria	Mitochondria	Non-secretome
FBA1	0	Mitochondria	Mitochondria	Non-secretome
FIS1	152	Mitochondrion	Mitochondria	Non-secretome
FLX1	0	Mitochondria	Mitochondria	Non-secretome
FMC1	113	Mitochondrion	Mitochondria	Non-secretome
FMN1	1419	Nucleus	Mitochondria	Non-secretome
FMP10	0	Mitochondria	Mitochondria	Non-secretome
FMP16	0	Mitochondria	Mitochondria	Non-secretome
FMP23	0	Mitochondria	Mitochondria	Non-secretome
FMP25	0	Mitochondria	Mitochondria	Non-secretome
FMP30	0	Mitochondria	Mitochondria	Non-secretome
FMP32	0	Mitochondria	Mitochondria	Non-secretome
FMP33	0	Mitochondria	Mitochondria	Non-secretome
FMP40	0	Mitochondria	Mitochondria	Non-secretome
FMP41	0	Mitochondria	Mitochondria	Non-secretome
FMP46	0	Mitochondria	Mitochondria	Non-secretome
FMP52	0	Mitochondria	Mitochondria	Non-secretome
FMT1	0	Mitochondria	Mitochondria	Non-secretome
FOL1	0	Mitochondria	Mitochondria	Non-secretome
FOL3	0	Mitochondria	Mitochondria	Non-secretome
FSF1	0	Mitochondria	Mitochondria	Non-secretome
FSH1	0	Mitochondria	Mitochondria	Non-secretome
FTR1	0	Mitochondria	Mitochondria	Non-secretome
FUM1	0	Mitochondria	Mitochondria	Non-secretome
FUN14	0	Mitochondria	Mitochondria	Non-secretome
FYV4	0	Mitochondria	Mitochondria	Non-secretome
FYV6	0	Mitochondria	Mitochondria	Non-secretome
FZO1	0	Mitochondria	Mitochondria	Non-secretome
GCV1	0	Mitochondria	Mitochondria	Non-secretome
GCV2	0	Mitochondria	Mitochondria	Non-secretome
GCV3	0	Mitochondria	Mitochondria	Non-secretome
GEM1	0	Mitochondria	Mitochondria	Non-secretome
GEP3	0	Mitochondria	Mitochondria	Non-secretome
GEP4	0	Mitochondria	Mitochondria	Non-secretome
GEP5	0	Mitochondria	Mitochondria	Non-secretome
GEP7	0	Mitochondria	Mitochondria	Non-secretome
GGC1	0	Mitochondria	Mitochondria	Non-secretome
GLN4	0	Mitochondria	Mitochondria	Non-secretome
GLO4	0	Mitochondria	Mitochondria	Non-secretome
GLR1	0	Mitochondria	Mitochondria	Non-secretome
GPD2	727	Mitochondrion	Mitochondria	Intracellular and membrane
GPM1	0	Mitochondria	Mitochondria	Non-secretome
GPX1	203	Cytoplasm	Mitochondria	Non-secretome
GPX2	190	Cytoplasm	Mitochondria	Non-secretome
GRS1	0	Mitochondria	Mitochondria	Non-secretome
GRX2	0	Mitochondria	Mitochondria	Non-secretome
GRX5	0	Mitochondria	Mitochondria	Non-secretome
GTF1	0	Mitochondria	Mitochondria	Non-secretome
GUF1	669	Mitochondrion	Mitochondria	Non-secretome
GUS1	0	Mitochondria	Mitochondria	Non-secretome
GUT1	0	Mitochondria	Mitochondria	Non-secretome
GUT2	0	Mitochondria	Mitochondria	Non-secretome
HAP1	671	Cytoplasm	Mitochondria	Non-secretome
HBN1	0	Mitochondria	Mitochondria	Non-secretome
HEM1	0	Mitochondria	Mitochondria	Non-secretome
HEM14	0	Mitochondria	Mitochondria	Non-secretome
HEM15	0	Mitochondria	Mitochondria	Non-secretome
HEM25	0	Mitochondria	Mitochondria	Non-secretome
HER2	0	Mitochondria	Mitochondria	Non-secretome
HFA1	0	Mitochondria	Mitochondria	Non-secretome
HFD1	0	Mitochondria	Mitochondria	Non-secretome
HMF1	0	Mitochondria	Mitochondria	Non-secretome
HMI1	0	Mitochondria	Mitochondria	Non-secretome
HNT2	0	Mitochondria	Mitochondria	Non-secretome
HOT13	0	Mitochondria	Mitochondria	Non-secretome
HSL1	0	Mitochondria	Mitochondria	Non-secretome
HSP10	0	Mitochondria	Mitochondria	Non-secretome
HSP60	0	Mitochondria	Mitochondria	Non-secretome
HSP78	0	Mitochondria	Mitochondria	Non-secretome
HST2	0	Mitochondria	Mitochondria	Non-secretome
HST4	0	Mitochondria	Mitochondria	Non-secretome
HTD2	168	Nucleus	Mitochondria	Non-secretome
HTS1	0	Mitochondria	Mitochondria	Non-secretome
HXK1	0	Mitochondria	Mitochondria	Non-secretome
HXK2	0	Mitochondria	Mitochondria	Non-secretome
HYR1	0	Mitochondria	Mitochondria	Non-secretome
IAI11	0	Mitochondria	Mitochondria	Non-secretome
IBA57	356	Mitochondrion	Mitochondria	Non-secretome
ICL2	0	Mitochondria	Mitochondria	Non-secretome
ICP55	0	Mitochondria	Mitochondria	Non-secretome
IDH1	414	Cytoplasm	Mitochondria	Non-secretome
IDH2	452	Mitochondrion	Mitochondria	Non-secretome
IDP1	0	Mitochondria	Mitochondria	Non-secretome
IES5	0	Mitochondria	Mitochondria	Non-secretome
IFM1	0	Mitochondria	Mitochondria	Non-secretome
ILV1	0	Mitochondria	Mitochondria	Non-secretome
ILV2	0	Mitochondria	Mitochondria	Non-secretome
ILV3	0	Mitochondria	Mitochondria	Non-secretome
ILV5	0	Mitochondria	Mitochondria	Non-secretome
ILV6	0	Mitochondria	Mitochondria	Non-secretome
IMG1	0	Mitochondria	Mitochondria	Non-secretome
IMG2	0	Mitochondria	Mitochondria	Non-secretome
IML2	0	Mitochondria	Mitochondria	Non-secretome
IMO32	0	Mitochondria	Mitochondria	Non-secretome
IMP1	0	Mitochondria	Mitochondria	Non-secretome
IMP2	0	Mitochondria	Mitochondria	Non-secretome
INA17	0	Mitochondria	Mitochondria	Non-secretome
INA22	0	Mitochondria	Mitochondria	Non-secretome
INH1	0	Mitochondria	Mitochondria	Non-secretome
INP52	0	Mitochondria	Mitochondria	Non-secretome
IRA2	0	Mitochondria	Mitochondria	Non-secretome
IRC19	0	Mitochondria	Mitochondria	Non-secretome
IRC3	0	Mitochondria	Mitochondria	Non-secretome
ISA1	0	Mitochondria	Mitochondria	Non-secretome
ISA2	0	Mitochondria	Mitochondria	Non-secretome
ISC1	0	Mitochondria	Mitochondria	Non-secretome
ISD11	0	Mitochondria	Mitochondria	Non-secretome
ISU1	0	Mitochondria	Mitochondria	Non-secretome
ISU2	0	Mitochondria	Mitochondria	Non-secretome
JAC1	0	Mitochondria	Mitochondria	Non-secretome
JID1	0	Mitochondria	Mitochondria	Non-secretome
JSN1	0	Mitochondria	Mitochondria	Non-secretome
KGD1	0	Mitochondria	Mitochondria	Non-secretome
KGD2	0	Mitochondria	Mitochondria	Non-secretome
LAM1	0	Mitochondria	Mitochondria	Non-secretome
LAT1	0	Mitochondria	Mitochondria	Non-secretome
LCL3	0	Mitochondria	Mitochondria	Non-secretome
LEU4	0	Mitochondria	Mitochondria	Non-secretome
LEU5	0	Mitochondria	Mitochondria	Non-secretome
LEU9	0	Mitochondria	Mitochondria	Non-secretome
LIP2	0	Mitochondria	Mitochondria	Non-secretome
LIP5	0	Mitochondria	Mitochondria	Non-secretome
LMO1	156	Nucleus	Mitochondria	Non-secretome
LPD1	0	Mitochondria	Mitochondria	Non-secretome
LSC1	0	Mitochondria	Mitochondria	Non-secretome
LSC2	0	Mitochondria	Mitochondria	Non-secretome
LYS12	0	Mitochondria	Mitochondria	Non-secretome
LYS4	0	Mitochondria	Mitochondria	Non-secretome
MAE1	0	Mitochondria	Mitochondria	Non-secretome
MAM33	0	Mitochondria	Mitochondria	Non-secretome
MAS1	325	Cell membrane	Mitochondria	Non-secretome
MAS2	0	Mitochondria	Mitochondria	Non-secretome
MBA1	0	Mitochondria	Mitochondria	Non-secretome
MCD1	0	Mitochondria	Mitochondria	Non-secretome
MCO10	0	Mitochondria	Mitochondria	Non-secretome
MCO12	0	Mitochondria	Mitochondria	Non-secretome
MCO13	0	Mitochondria	Mitochondria	Non-secretome
MCO14	0	Mitochondria	Mitochondria	Non-secretome
MCO32	0	Mitochondria	Mitochondria	Non-secretome
MCO6	0	Mitochondria	Mitochondria	Non-secretome
MCO76	0	Mitochondria	Mitochondria	Non-secretome
MCO8	0	Mitochondria	Mitochondria	Non-secretome
MCP1	0	Mitochondria	Mitochondria	Non-secretome
MCP2	0	Mitochondria	Mitochondria	Non-secretome
MCR1	0	Mitochondria	Mitochondria	Non-secretome
MCT1	0	Mitochondria	Mitochondria	Non-secretome
MCX1	0	Mitochondria	Mitochondria	Non-secretome
MCY1	0	Mitochondria	Mitochondria	Non-secretome
MDH1	334	Cytoplasm	Mitochondria	Non-secretome
MDJ1	0	Mitochondria	Mitochondria	Non-secretome
MDJ2	0	Mitochondria	Mitochondria	Non-secretome
MDL1	0	Mitochondria	Mitochondria	Non-secretome
MDL2	0	Mitochondria	Mitochondria	Non-secretome
MDM10	0	Mitochondria	Mitochondria	Non-secretome
MDM12	0	Mitochondria	Mitochondria	Non-secretome
MDM31	0	Mitochondria	Mitochondria	Non-secretome
MDM32	0	Mitochondria	Mitochondria	Non-secretome
MDM34	0	Mitochondria	Mitochondria	Non-secretome
MDM35	0	Mitochondria	Mitochondria	Non-secretome
MDM36	0	Mitochondria	Mitochondria	Non-secretome
MDM38	0	Mitochondria	Mitochondria	Non-secretome
MDV1	0	Mitochondria	Mitochondria	Non-secretome
MEF1	0	Mitochondria	Mitochondria	Non-secretome
MEF2	0	Mitochondria	Mitochondria	Non-secretome
MET7	0	Mitochondria	Mitochondria	Non-secretome
MEU1	0	Mitochondria	Mitochondria	Non-secretome
MFB1	0	Mitochondria	Mitochondria	Non-secretome
MFM1	0	Mitochondria	Mitochondria	Non-secretome
MGE1	0	Mitochondria	Mitochondria	Non-secretome
MGL2	0	Mitochondria	Mitochondria	Non-secretome
MGM1	0	Mitochondria	Mitochondria	Non-secretome
MGM101	0	Mitochondria	Mitochondria	Non-secretome
MGP12	0	Mitochondria	Mitochondria	Non-secretome
MGR1	0	Mitochondria	Mitochondria	Non-secretome
MGR2	0	Mitochondria	Mitochondria	Non-secretome
MGR3	0	Mitochondria	Mitochondria	Non-secretome
MHR1	0	Mitochondria	Mitochondria	Non-secretome
MIA40	0	Mitochondria	Mitochondria	Non-secretome
MIC10	0	Mitochondria	Mitochondria	Non-secretome
MIC12	0	Mitochondria	Mitochondria	Non-secretome
MIC19	0	Mitochondria	Mitochondria	Non-secretome
MIC26	0	Mitochondria	Mitochondria	Non-secretome
MIC27	0	Mitochondria	Mitochondria	Non-secretome
MIC60	0	Mitochondria	Mitochondria	Non-secretome
MIG2	0	Mitochondria	Mitochondria	Non-secretome
MIM1	0	Mitochondria	Mitochondria	Non-secretome
MIM2	0	Mitochondria	Mitochondria	Non-secretome
MIN10	0	Mitochondria	Mitochondria	Non-secretome
MIN3	0	Mitochondria	Mitochondria	Non-secretome
MIN4	0	Mitochondria	Mitochondria	Non-secretome
MIN6	0	Mitochondria	Mitochondria	Non-secretome
MIN7	0	Mitochondria	Mitochondria	Non-secretome
MIN8	0	Mitochondria	Mitochondria	Non-secretome
MIN9	0	Mitochondria	Mitochondria	Non-secretome
MIP1	0	Mitochondria	Mitochondria	Non-secretome
MIR1	0	Mitochondria	Mitochondria	Non-secretome
MIS1	0	Mitochondria	Mitochondria	Non-secretome
MIX14	0	Mitochondria	Mitochondria	Non-secretome
MIX17	0	Mitochondria	Mitochondria	Non-secretome
MIX23	144	Mitochondria	Mitochondria	Non-secretome
MLO1	0	Mitochondria	Mitochondria	Non-secretome
MLO127	0	Mitochondria	Mitochondria	Non-secretome
MLO50	0	Mitochondria	Mitochondria	Non-secretome
MME1	0	Mitochondria	Mitochondria	Non-secretome
MMF1	0	Mitochondria	Mitochondria	Non-secretome
MMM1	0	Mitochondria	Mitochondria	Non-secretome
MMO1	0	Mitochondria	Mitochondria	Non-secretome
MMR1	0	Mitochondria	Mitochondria	Non-secretome
MMT1	0	Mitochondria	Mitochondria	Non-secretome
MMT2	0	Mitochondria	Mitochondria	Non-secretome
MNE1	0	Mitochondria	Mitochondria	Non-secretome
MNP1	0	Mitochondria	Mitochondria	Non-secretome
MOD5	0	Mitochondria	Mitochondria	Non-secretome
MOG1	0	Mitochondria	Mitochondria	Non-secretome
MPC1	109	Mitochondrion	Mitochondria	Non-secretome
MPC2	127	Mitochondrion	Mitochondria	Non-secretome
MPC3	0	Mitochondria	Mitochondria	Non-secretome
MPM1	0	Mitochondria	Mitochondria	Non-secretome
MRF1	0	Mitochondria	Mitochondria	Non-secretome
MRH4	0	Mitochondria	Mitochondria	Non-secretome
MRM1	353	Mitochondrion	Mitochondria	Non-secretome
MRM2	246	Mitochondrion	Mitochondria	Non-secretome
MRP1	0	Mitochondria	Mitochondria	Non-secretome
MRP10	0	Mitochondria	Mitochondria	Non-secretome
MRP13	0	Mitochondria	Mitochondria	Non-secretome
MRP17	0	Mitochondria	Mitochondria	Non-secretome
MRP2	0	Mitochondria	Mitochondria	Non-secretome
MRP20	0	Mitochondria	Mitochondria	Non-secretome
MRP21	0	Mitochondria	Mitochondria	Non-secretome
MRP4	0	Mitochondria	Mitochondria	Non-secretome
MRP49	0	Mitochondria	Mitochondria	Non-secretome
MRP51	0	Mitochondria	Mitochondria	Non-secretome
MRP7	0	Mitochondria	Mitochondria	Non-secretome
MRPL1	325	Mitochondrion	Mitochondria	Non-secretome
MRPL10	261	Mitochondrion	Mitochondria	Non-secretome
MRPL11	192	Mitochondrion	Mitochondria	Non-secretome
MRPL13	178	Mitochondrion	Mitochondria	Non-secretome
MRPL15	296	Mitochondrion	Mitochondria	Non-secretome
MRPL16	251	Mitochondrion	Mitochondria	Non-secretome
MRPL17	175	Mitochondrion	Mitochondria	Non-secretome
MRPL19	292	Mitochondrion	Mitochondria	Non-secretome
MRPL20	149	Mitochondrion	Mitochondria	Non-secretome
MRPL22	206	Mitochondrion	Mitochondria	Non-secretome
MRPL23	153	Mitochondrion	Mitochondria	Non-secretome
MRPL24	216	Mitochondrion	Mitochondria	Intracellular and membrane
MRPL25	0	Mitochondria	Mitochondria	Non-secretome
MRPL27	148	Mitochondrion	Mitochondria	Intracellular and membrane
MRPL28	256	Mitochondrion	Mitochondria	Non-secretome
MRPL3	348	Mitochondrion	Mitochondria	Non-secretome
MRPL31	0	Mitochondria	Mitochondria	Non-secretome
MRPL32	188	Mitochondrion	Mitochondria	Intracellular and membrane
MRPL33	65	Mitochondrion	Mitochondria	Non-secretome
MRPL35	188	Mitochondrion	Mitochondria	Intracellular and membrane
MRPL36	103	Mitochondrion	Mitochondria	Non-secretome
MRPL37	423	Mitochondrion	Mitochondria	Non-secretome
MRPL38	380	Mitochondrion	Mitochondria	Non-secretome
MRPL39	338	Mitochondrion	Mitochondria	Non-secretome
MRPL4	311	Mitochondrion	Mitochondria	Non-secretome
MRPL40	206	Mitochondrion	Mitochondria	Non-secretome
MRPL44	332	Mitochondrion	Mitochondria	Non-secretome
MRPL49	166	Mitochondrion	Mitochondria	Non-secretome
MRPL50	158	Mitochondrion	Mitochondria	Non-secretome
MRPL51	128	Mitochondrion	Mitochondria	Non-secretome
MRPL6	0	Mitochondria	Mitochondria	Non-secretome
MRPL7	0	Mitochondria	Mitochondria	Non-secretome
MRPL8	0	Mitochondria	Mitochondria	Non-secretome
